name,year.AD,Delta14C_permil
gapfill.2,1998,94.42802326
gapfill.2,1999,88.73236351
gapfill.2,2000,83.38025156
Scripps,2001,79.8
Scripps,2002,75.3
Scripps,2003,69.95
Scripps,2004,64
Scripps,2005,64.9
Scripps,2006,55.15
Scripps,2007,51.5
gapfill.3,2008,38.68119861
gapfill.3,2009,34.1617812
gapfill.3,2010,30.17040155
gapfill.3,2011,26.64536501
NGEE,2012,22.2
NGEE,2013,19.3
NGEE,2014,17.75
NA,NA,NA
